pl_name,pl_rade,pl_radj,pl_bmasse,pl_orbsmax,pl_orbper,discoverymethod,disc_year
"HD 74156 c",,,2753.98314665,3.6780000000,2448.48726000000,"Radial Velocity",2003
"GJ 273 c",,,1.18000000,0.0364670000,4.72340000000,"Radial Velocity",2017
"Kepler-1921 c",1.41000000,0.12579199,,0.0454000000,3.15722086000,"Transit",2023
"TOI-5292 A b",12.64373023,1.12800000,412.85910069,0.0279000000,2.02191000000,"Transit",2026
"TOI-1883 b",5.65000000,0.50406011,13.70000000,0.0423000000,4.50800000000,"Transit",2024
"HD 127195 b",,,212.94503269,,534.50000000000,"Radial Velocity",2026
"HD 127195 c",,,206.58846455,,836.99000000000,"Radial Velocity",2026
"TOI-1272 b",4.26000000,0.38005240,24.10000000,0.0410000000,3.31597650000,"Transit",2022
"TOI-1694 c",,,316.55709337,0.9740000000,386.25000000000,"Radial Velocity",2023
"Gaia23braL b",,,518.06030341,4.8470000000,,"Microlensing",2026
"DMPP-7 b",,,68.95800000,0.0607000000,4.92666000000,"Radial Velocity",2026
"KMT-2025-BLG-1160L b",,,25.36000000,2.5600000000,,"Microlensing",2026
"K2-99 c",,,2669.75861880,1.4300000000,522.20000000000,"Radial Velocity",2022
"TOI-1064 b",2.58700000,0.23079708,13.50000000,0.0615200000,6.44386800000,"Transit",2022
"Kepler-841 b",5.23000000,0.46658935,,,124.41983980000,"Transit",2016
"TOI-5605 b",2.52611303,0.22536510,,,5.91340454843,"Transit",2026
"HD 27894 d",,,2063.65984665,5.3620000000,5019.54244000000,"Radial Velocity",2017
"Kepler-186 e",1.27000000,0.11300000,,0.1100000000,22.40770400000,"Transit",2014
"Kepler-1987 d",2.66000000,0.23730971,,0.0571000000,5.64491415400,"Transit",2023
